year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV
2025,0.0,7.5059,1.5205499,16.3716,12.42,0.2672,8.7613575,0.0,0.0,0.0
2030,3.4754147,5.04524,24.583721,16.3327,12.42,29.798441999999998,19.373136,0.0,0.0,0.0
2035,3.4754147,2.81574,27.506022,15.903979999999999,12.42,33.493601999999996,21.757402,0.0,0.0,0.0
2040,3.4754147,2.4444,30.466852,5.02332,12.42,37.163296,24.139802,0.0,0.0,0.0
2045,3.4754147,2.35704,33.506108,0.6888,12.42,40.780841,26.519437999999997,0.0,0.0,0.0
2050,3.4754147,2.2556,36.571760999999995,0.6888,12.42,44.381474000000004,28.896035,0.0,0.0,0.0
2025,0.0,7.5059,1.3325067,16.3716,12.42,0.2672,9.3067318,0.0,0.0,0.0
2030,6.2137401,5.04524,21.177748,16.3327,12.42,23.773686,18.191423,2.3636955000000002e-09,0.0,0.0
2035,6.410761000000001,2.81574,24.020967,15.903979999999999,12.42,26.952866999999998,20.688592,4.4370086e-09,0.0,0.0
2040,6.410761000000001,2.4444,27.225355,5.02332,12.42,30.534987,23.507609,4.4370086e-09,0.0,0.0
2045,6.410761000000001,2.35704,30.429637,0.6888,12.42,34.116964,26.327275,4.4372969e-09,0.0,0.0
2050,6.410761000000001,2.2556,33.633919999999996,0.6888,12.42,37.69894,29.146942,4.4372969e-09,0.0,0.0
2025,0.0,7.5059,1.4202621999999998,16.3716,12.42,0.2672,9.6169254,0.0,0.0,0.0
2030,4.4884013000000005,5.04524,22.981233,16.3327,12.42,32.115384,18.619652,0.0,0.0,0.0
2035,4.4884013000000005,2.81574,26.152295,15.903979999999999,12.42,36.308944000000004,21.062373,0.0,0.0,0.0
2040,4.4884013000000005,2.4444,29.374678,5.02332,12.42,40.467743999999996,23.488310000000002,0.0,0.0,0.0
2045,4.4884013000000005,2.35704,32.543869,0.6888,12.42,44.66257100000001,25.931642,0.0,0.0,0.0
2050,4.4884013000000005,2.2556,35.713061,0.6888,12.42,48.857397,28.374975,0.0,0.0,0.0
2025,0.0,7.5059,1.0428108,16.3716,12.42,0.2672,8.5609382,0.0,0.0,0.0
2030,5.0185977,5.04524,24.364697,16.3327,12.42,32.966432999999995,15.579655,0.0,0.0,0.0
2035,5.0185977,2.81574,26.808726,15.903979999999999,12.42,37.306384,18.360665,0.0,0.0,0.0
2040,5.0185977,2.4444,29.47943,5.02332,12.42,41.781662,20.856422,0.0,0.0,0.0
2045,5.0185977,2.35704,32.977069,0.6888,12.42,45.694463000000006,23.064988,0.0,0.0,0.0
2050,5.0185977,2.2556,36.119886,0.6888,12.42,50.056362,25.301531999999998,0.0,0.0,0.0
