year,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
2035,2.81574,8.961441800000001,15.903979999999999,12.42,7.2393994,3.21062,11.170628
2040,2.4444,8.5390584,5.02332,12.42,7.2214594,1.91224,12.732974
2045,2.35704,7.6826565,0.6888,12.42,7.0242194,0.11314154000000001,14.538352999999999
2050,2.2556,8.445048199999999,0.6888,12.42,6.9948194,0.54305051,15.505452
2025,7.5059,0.34462315,16.3716,12.42,0.2672,6.29482,0.91772521
2030,5.04524,9.6469655,16.3327,12.42,9.0973411,5.61546,9.1566531
2035,2.81574,9.6484986,15.903979999999999,12.42,9.0765211,3.21062,10.561082
2040,2.4444,9.706308000000002,5.02332,12.42,9.0585811,2.9552367,11.834454
2045,2.35704,10.577551999999999,0.6888,12.42,9.690502,3.5372421,12.648348
2050,2.2556,11.11294,0.6888,12.42,10.311435,3.792729,13.624032999999999
2025,7.5059,0.49906081,16.3716,12.42,0.2672,6.29482,1.0693962
2030,5.04524,8.852197,16.3327,12.42,10.702405,5.61546,9.3832813
2035,2.81574,8.9575542,15.903979999999999,12.42,10.681584999999998,3.21062,10.700764
2040,2.4444,8.5865934,5.02332,12.42,10.663645,2.2986109000000003,12.209054
2045,2.35704,8.108787,0.6888,12.42,10.466405,1.241338,13.796997
2050,2.2556,9.7346279,0.6888,12.42,10.437005,2.8350699,14.301165000000001
2025,7.5059,0.69525252,16.3716,12.42,0.2672,6.29482,0.75606818
2030,5.04524,8.3072525,16.3327,12.42,9.390229300000001,5.61546,9.649823399999999
2035,2.81574,8.5637546,15.903979999999999,12.42,9.3694093,3.21062,10.958681
2040,2.4444,8.850339900000002,5.02332,12.42,9.351469300000002,2.2614398,12.175597
2045,2.35704,9.1461273,0.6888,12.42,9.1542293,2.1944121,13.368409
2050,2.2556,9.5520344,0.6888,12.42,9.7033026,2.3318432,14.408598
2025,7.5059,0.5507580000000001,16.3716,12.42,0.2672,6.29482,0.95279642
