,Steam Production (klbs),CWS,TES
2019-08-20 23:00:00,151.7975232499999,25354.13736111666,-7379.447997500168
2019-08-21 00:00:00,148.19602150000003,25235.62619443667,-7395.309965833164
2019-08-21 01:00:00,144.6046123333334,25168.09883333667,-7390.324179167002
2019-08-21 02:00:00,148.02472141666664,24287.203888890002,-6727.5854647225
2019-08-21 03:00:00,148.23634433333334,24234.719138891658,-6669.316935277998
2019-08-21 04:00:00,149.0273950833333,23395.170111113333,-5219.310772500335
2019-08-21 05:00:00,151.9708305,22714.303916666668,-1282.9971058054832
2019-08-21 06:00:00,157.99764866666663,21573.1315,-31.91571474165
2019-08-21 07:00:00,162.10751541666667,20255.73219444167,2577.6735669372715
2019-08-21 08:00:00,162.1702355833334,18170.003694444997,5302.336596944501
2019-08-21 09:00:00,160.28530833333335,17918.876888889998,6641.558728333165
2019-08-21 10:00:00,162.13669458333334,17823.740111111667,6578.258156388667
2019-08-21 11:00:00,165.79030675,17823.75774999667,6503.455788333167
2019-08-21 12:00:00,159.2603413333333,16937.797194444996,6410.288982499833
2019-08-21 13:00:00,156.61202349999994,16627.184444448336,6360.275449167166
2019-08-21 14:00:00,155.32073808333328,16951.521416674994,6351.671251111333
2019-08-21 15:00:00,157.60143191666668,16519.546388881674,6375.449833611164
2019-08-21 16:00:00,157.20847474999997,16433.996916669996,5220.4942766665
2019-08-21 17:00:00,156.56311625,17085.946250001667,3075.9276777776668
2019-08-21 18:00:00,156.00044025,18172.673611106664,277.5541877777784
2019-08-21 19:00:00,155.00407658333336,20622.881833331667,-2590.7747592776172
2019-08-21 20:00:00,153.32354166666667,22720.163222226667,-5139.259415833168
2019-08-21 21:00:00,152.69000836111667,22255.375847223335,-6535.0763266666645
2019-08-21 22:00:00,154.3842050000001,21249.10952778,-7129.854845277666
2019-08-21 23:00:00,153.65082191666664,20167.885916668336,-7201.566429444164
2019-08-22 00:00:00,155.06541625000003,19538.165361114996,-7152.227588055668
2019-08-22 01:00:00,154.91169158333338,19090.991222218327,-6998.8258144443325
2019-08-22 02:00:00,155.46782024999996,18279.045499999993,-6359.96661
2019-08-22 03:00:00,155.0776583333333,18102.902027774995,-6365.275800833335
2019-08-22 04:00:00,165.6013270833333,16713.688499999997,-4985.395767778
2019-08-22 05:00:00,165.4239325,14777.33627777833,-1291.563602110917
2019-08-22 06:00:00,166.32237700000002,12397.23863889167,-32.662295236095
2019-08-22 07:00:00,166.89931050000004,14807.898805556668,0.0
2019-08-22 08:00:00,169.37163125000006,15406.797361108338,2522.926728873679
2019-08-22 09:00:00,164.36533566666674,15841.814499996666,3498.094098055834
2019-08-22 10:00:00,162.11002624999998,15142.99091667167,5138.003838888833
2019-08-22 11:00:00,162.54292866666668,14461.294722223338,5070.944391666167
2019-08-22 12:00:00,161.70806125000001,14661.409083331668,4034.039991944499
2019-08-22 13:00:00,160.69865716666666,14996.277749999997,3987.1335583331656
2019-08-22 14:00:00,160.19733800000003,15747.116444446672,2741.969045278
2019-08-22 15:00:00,160.00884391666665,16673.971111111663,202.83322588899998
2019-08-22 16:00:00,158.5861495833333,16664.900777778334,0.0
2019-08-22 17:00:00,159.85619833333334,16232.924944448338,0.0
2019-08-22 18:00:00,160.5298193333333,15662.044722223332,0.0
2019-08-22 19:00:00,160.83952200000002,14813.224388895,0.0
2019-08-22 20:00:00,161.61453575000002,12898.590444446665,0.0
2019-08-22 21:00:00,158.11199091666668,11422.609944444997,0.0
2019-08-22 22:00:00,158.48612166666663,10568.85627777667,0.0
2019-08-22 23:00:00,158.82773291666663,9914.08144166533,0.0
2019-08-23 00:00:00,160.82145958333328,9485.871798610498,0.0
2019-08-23 01:00:00,159.03550433333336,9055.000977777501,0.0
2019-08-23 02:00:00,161.56693691666666,8949.954399999833,0.0
2019-08-23 03:00:00,170.57341799999998,8857.13626388933,0.0
2019-08-23 04:00:00,164.16898050000003,8853.335822222,0.0
2019-08-23 05:00:00,164.50644833333334,9211.450199999834,0.0
2019-08-23 06:00:00,163.26476091666666,9494.0303361105,0.0
2019-08-23 07:00:00,160.89089574999997,10584.31913889417,0.0
2019-08-23 08:00:00,163.02466941666663,12049.573166661667,0.0
2019-08-23 09:00:00,163.71781291666665,13117.740305553334,0.0
2019-08-23 10:00:00,161.9240488333333,13454.302305553338,0.0
2019-08-23 11:00:00,162.35388391666663,14995.337416666669,0.0
2019-08-23 12:00:00,160.76858499999997,16010.436166666668,0.0
2019-08-23 13:00:00,158.78185100000005,15771.073138885,0.0
2019-08-23 14:00:00,158.20235600000004,15528.376777780002,0.0
2019-08-23 15:00:00,157.14477633333334,15343.578694438334,0.0
2019-08-23 16:00:00,157.7660054166667,15134.49441666333,0.0
2019-08-23 17:00:00,157.1089949166667,14676.11888888667,0.0
2019-08-23 18:00:00,157.50500341666663,13782.798722221663,0.0
2019-08-23 19:00:00,159.2343094166667,13061.08994444166,0.0
2019-08-23 20:00:00,158.348040625,12413.55752778,0.0
2019-08-23 21:00:00,159.17044100000004,11791.130361110003,0.0
2019-08-23 22:00:00,157.15565675000002,11134.875133337167,0.0
2019-08-23 23:00:00,156.83057000000008,10616.035111108335,0.0
2019-08-24 00:00:00,157.2791113333333,10141.987475000331,0.0
2019-08-24 01:00:00,159.81188325000002,9966.042197218332,0.0
2019-08-24 02:00:00,168.35271141666672,9795.613536111834,0.0
2019-08-24 03:00:00,160.01676624999993,9298.250127777834,0.0
2019-08-24 04:00:00,160.64297341666665,9349.821533332999,0.0
